# Real prosumer PV generation + load, 30-second resolution.
#
# Source: Venizelou et al. (2023). Photovoltaic Generation and Load Demand
#   Datasets with 30 seconds resolution from an Actual Prosumer in Cyprus
#   [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.8348862
# License: Creative Commons Attribution 4.0 International (CC BY 4.0).
#
# Excerpt: a 7-hour midday window (2022-09-01 09:00-16:00) of the 'Ppv'
#   (PV) and 'Pload' channels. A partly-cloudy day: strong PV with frequent
#   cloud-driven dips (far richer than a synthetic half-sine). The eval
#   scales both columns to a balcony-system size. See traces/README.md.
#
# columns: t_s (seconds from window start), load_w, pv_w
t_s,load_w,pv_w
13170,600,3095
13200,779,3874
13230,567,1415
13260,677,2775
13290,781,3934
13320,664,2988
13350,781,4200
13380,797,3951
13410,792,4014
13440,796,3857
13470,722,2794
13500,752,3414
13530,790,3986
13560,789,3951
13590,780,3710
13620,621,2109
13650,775,3818
13680,788,3814
13710,768,3756
13740,679,3156
13770,748,3535
13800,715,2899
13830,684,2938
13860,553,1626
13890,640,2201
13920,706,3152
13950,779,3892
13980,671,2535
14010,763,3593
14040,719,3315
14070,763,3673
14100,712,3070
14130,658,2559
14160,748,3505
14190,754,3393
14220,762,3522
14250,749,3517
14280,758,3491
14310,748,3478
14340,759,3495
14370,760,3494
14400,746,3480
14430,743,3499
14460,749,3497
14490,743,3491
14520,747,3498
14550,745,3493
14580,777,3495
14610,784,3504
14640,757,3507
14670,767,3512
14700,792,3516
14730,639,3500
14760,655,3496
14790,666,3494
14820,669,3502
14850,655,3512
14880,649,3506
14910,630,3508
14940,631,3492
14970,655,3497
15000,634,3500
15030,630,3510
15060,640,3502
15090,613,3504
15120,630,3500
15150,638,3488
15180,644,3472
15210,628,3465
15240,619,3461
15270,623,3468
15300,633,3462
15330,634,3457
15360,642,3458
15390,622,3444
15420,621,3453
15450,626,3456
15480,616,3452
15510,615,3436
15540,683,3431
15570,685,3427
15600,1170,3422
15630,687,3421
15660,694,3411
15690,754,3411
15720,773,3407
15750,796,3398
15780,788,3389
15810,826,3388
15840,826,3387
15870,832,3376
15900,828,3371
15930,844,3370
15960,843,3367
15990,841,3374
16020,844,3379
16050,908,3371
16080,943,3372
16110,953,3368
16140,952,3363
16170,969,3353
16200,982,3340
16230,1115,3326
16260,1118,3327
16290,1219,3328
16320,1210,3316
16350,1224,3316
16380,1222,3313
16410,1239,3311
16440,1088,3330
16470,1071,3320
16500,1040,3322
16530,1034,3337
16560,1016,3321
16590,1031,3328
16620,1016,3334
16650,1022,3333
16680,1020,3317
16710,1036,3335
16740,1036,3342
16770,1028,3338
16800,1037,3348
16830,1008,3343
16860,1008,3347
16890,1012,3338
16920,1006,3343
16950,1032,3326
16980,1044,3328
17010,1051,3319
17040,1054,3324
17070,1048,3317
17100,1067,3325
17130,1066,3319
17160,1057,3305
17190,1057,3300
17220,1062,3310
17250,1044,3316
17280,1035,3326
17310,1048,3330
17340,1039,3320
17370,1042,3312
17400,1040,3313
17430,1043,3312
17460,1041,3325
17490,1026,3316
17520,1040,3315
17550,1023,3304
17580,1018,3298
17610,1022,3280
17640,1037,3287
17670,1028,3265
17700,1006,3255
17730,999,3252
17760,1017,3254
17790,1005,3249
17820,1017,3243
17850,1015,3231
17880,1009,3234
17910,1011,3240
17940,1019,3224
17970,1015,3214
18000,1005,3232
18030,959,3241
18060,928,3236
18090,935,3221
18120,940,3220
18150,957,3219
18180,952,3219
18210,955,3217
18240,953,3227
18270,945,3215
18300,929,3216
18330,1303,3222
18360,1320,3227
18390,1314,3228
18420,1304,3223
18450,1282,3223
18480,1284,3223
18510,1295,3231
18540,1301,3236
18570,1288,3244
18600,1298,3250
18630,1288,3236
18660,1279,3217
18690,1282,3227
18720,1269,3245
18750,1280,3230
18780,1270,3241
18810,1292,3249
18840,1273,3249
18870,1267,3244
18900,1283,3256
18930,1291,3264
18960,1286,3273
18990,1272,3272
19020,1289,3261
19050,1281,3258
19080,1278,3240
19110,1276,3231
19140,1256,3211
19170,1276,3215
19200,1273,3222
19230,1278,3212
19260,1277,3226
19290,1281,3221
19320,1181,3215
19350,1196,3210
19380,1192,3192
19410,1284,3187
19440,1306,3186
19470,1077,3184
19500,1080,3169
19530,1078,3164
19560,1068,3155
19590,1082,3141
19620,959,3127
19650,960,3117
19680,943,3119
19710,947,3113
19740,950,3147
19770,951,3136
19800,916,3130
19830,952,3138
19860,924,3108
19890,942,3115
19920,938,3110
19950,1038,3106
19980,1067,3119
20010,1044,3084
20040,1055,3098
20070,1039,3098
20100,1047,3090
20130,905,3109
20160,1042,3118
20190,1056,3109
20220,1084,3113
20250,1069,3095
20280,1061,3068
20310,1044,3063
20340,581,3055
20370,579,3059
20400,581,3069
20430,558,3057
20460,565,3046
20490,400,3030
20520,394,3026
20550,423,3014
20580,1628,3013
20610,1627,3005
20640,413,3001
20670,418,2984
20700,408,2973
20730,413,2966
20760,410,2948
20790,399,2939
20820,404,2941
20850,394,2944
20880,393,2936
20910,387,2933
20940,395,2944
20970,393,2932
21000,389,2930
21030,560,2939
21060,664,2934
21090,2190,2946
21120,3354,2951
21150,3401,2943
21180,3504,2944
21210,3529,2931
21240,3763,2911
21270,3856,2910
21300,3924,2911
21330,3941,2922
21360,4110,2911
21390,4075,2899
21420,4360,2888
21450,4290,2892
21480,4318,2870
21510,4689,2875
21540,4692,2884
21570,4744,2872
21600,4696,2880
21630,4715,2877
21660,4717,2862
21690,4322,2857
21720,5611,2849
21750,4225,2849
